Shop Name,Chain Id,WSID,STATUS,Contract
Advantage Auto Servi,,1001,ACTIVE,"1,189"
Auto Service Special,,1002,ACTIVE,"1,484"
Custom Automotive,,1003,ACTIVE,578
Grand Garage,,1004,ACTIVE,"1,156"
Havasu Auto Care,,1005,ACTIVE,927
Jenkins Auto,,1006,ACTIVE,"1,364"
Olmsted Auto Care,,1007,ACTIVE,"2,138"
Quality Auto,,1008,ACTIVE,"1,713"
Hal,,1009,ACTIVE,"1,996"
Steger,,1010,ACTIVE,"1,844"
Velocity,,1011,ACTIVE,"1,385"
Bryan,,1012,ACTIVE,524
B&L Whitehouse Auto Service,103,1013,ACTIVE,"1,658"
Toledo Auto Care,103,1014,ACTIVE,"2,815"
Toledo Auto Care - Monroe,103,1015,ACTIVE,"2,204"
AG Automotive,,1016,ACTIVE,"1,113"
Sours Automotive,,1017,ACTIVE,"1,658"
Highline Car Care,,1018,ACTIVE,"2,215"
West Street Service Center,105,1019,ACTIVE,"1,484"
Absolute Auto Repair,105,1020,ACTIVE,"1,364"
Absolute Auto Repair,105,1021,ACTIVE,"4,713"
ZAHNTECH AUTOMOTIVE SVC,,1022,ACTIVE,"1,604"
Aero Auto Repair,101,1023,ACTIVE,"5,715"
Aero Auto Repair Vista,101,1024,ACTIVE,"2,528"
Aero Auto Repair San Carlos,101,1025,ACTIVE,"4,288"
California Autohaus,101,1026,ACTIVE,"1,699"
Matt's Automotive Service Center,104,1029,ACTIVE,"1,527"
Matt's Automotive Service Center,104,1030,ACTIVE,"1,396"
Matt's Automotive Service Center,104,1031,ACTIVE,"2,727"
Matt's Automotive Service Center,104,1032,ACTIVE,"1,189"
Matt's Automotive Service Center,104,1033,ACTIVE,"1,407"
Matt's Automotive & Collision Center,104,1034,ACTIVE,829
Matt's Automotive Service Center,104,1035,ACTIVE,"3,360"
Matt's Automotive Service Center,104,1036,ACTIVE,305
Matt's Automotive Service Center,104,1037,ACTIVE,"1,244"
Matt's Automotive Service Center,104,1038,ACTIVE,851
Doc Motor Works inc.,,1039,ACTIVE,"2,607"
Geneva Foreign & Sports,,1040,ACTIVE,"3,000"
Advanced Automotive Performance,,1041,ACTIVE,"1,418"
Obsidian Motors and Repair,,1042,ACTIVE,44
John's Auto Care,,1043,ACTIVE,"1,135"
Bennett's Automotive,,1044,ACTIVE,"3,338"
Sneller Tire Auto & Diesel Repair,,1045,ACTIVE,"2,858"
Titan Auto Tech,,1046,ACTIVE,545
Off Campus Auto Repair LLC,,1047,ACTIVE,"1,135"
"Alternative Auto Care, Inc",,1048,ACTIVE,"1,462"
TOS Auto Repair,,1049,ACTIVE,"2,498"
Elysian Auto Service llc,,1050,ACTIVE,895
East Rock Auto Repair,,1051,ACTIVE,"1,549"
SafeWay Oil Change & Automotive Services,,1052,ACTIVE,"2,345"
Epoch Automotive,,1053,ACTIVE,393
Complete Car Care Encinitas #ARD222-342,,1054,ACTIVE,"7,353"
Ideal Automotive,,1055,ACTIVE,"1,309"
St. Joseph Auto,,1056,ACTIVE,"1,178"
Just-N-Tyme Automotive,,1057,ACTIVE,"1,800"
Next Level Automotive,,1058,ACTIVE,"1,342"
Mechanic One,,1059,ACTIVE,"2,302"
A-Plus Automotive,106,1060,ACTIVE,"2,204"
Miller's Auto & Diesel,106,1061,ACTIVE,"1,800"
Kolben Auto Care,106,1062,ACTIVE,"1,800"
Zima Automotive,,1063,ACTIVE,"1,800"
"CROWN AUTO REPAIR, LLC",,1064,ACTIVE,"1,800"
Car-Aid Southfield,,1065,PENDING,"1,800"
Car-Aid Shelby,,1066,PENDING,"1,800"
CAR-AID Utica,,1067,PENDING,"1,800"
J&S Auto Repair,,1068,PENDING,"3,115"
J&S Auto Repair II,,1069,PENDING,"2,648"
J&S Auto Repair III,,1070,PENDING,"1,800"
George Automotive Services Bloomsburg,,5001,WARM,"1,800"
George Automotive Services,,5002,WARM,"2,476"
High Tech Automotive,,5003,WARM,"2,464"
Primary Care Auto Repair,,5004,COLD,"1,933"
Pitts Automotive Inc,,5005,COLD,"3,143"